Nama.Produk,Harga,Gambar,Berat,Kipas,Backlight.Keyboard,Volume,Lebar,Ketinggian,Ketebalan,ukuran.layar,Resolusi,Kerapatan.Piksel,Jenis.Layar,Layar.Sentuh,Anti.Pantul,RAM,Kecepatan.RAM,Penyimpanan.Flash,Penyimpanan.Internal,Kecepatan.CPU,Thread.CPU,SSD.NVME,HDMI,USB.Daya,Adaptor.Magsafe,Suara.Stereo,"Konektor.Suara.3,5mm",Dolby.Atmos,Stylus,Pemindai.Sidikjari,Jumlah.Mikrofon,Pengenal.Wajah.3D
"Lenovo Yoga C630 13.3"" Qualcomm Snapdragon 850 8GB RAM / 256GB SSD",619,https://images.versus.io/objects/lenovo-yoga-c630-13-3-qualcomm-snapdragon-850-8gb-ram-256gb-ssd.front.master.1576684641045.jpg,1.2,1,1,829893,306.8,216.4,12.5,13.3,1920 x 1080px,166,"IPS, LCD, LED-backlit",1,0,8,1866,1,256,8 x 2.96GHz,8,0,0,1,0,1,1,0,1,1,2,0
"Asus ZenBook Pro UX501 15.6"" Intel Core i7-4720HQ 2.6GHz / 16GB / 512GB",999,https://images.versus.io/objects/asus-zenbook-pro-ux501-15-6-intel-core-i7-4720hq-2-6ghz-16gb-512gb.front.master.1576684641045.jpg,2.27,0,1,2080263,383,255,21.3,15.6,3840 x 2160px,282,"LED-backlit, LCD",1,0,16,1600,1,512,4 x 2.6GHz,8,0,1,1,0,1,1,0,0,0,1,0
Lenovo ThinkPad P52S 15.6â€? Intel Core i7-8550U 1.8GHz / 8GB RAM / 256GB SSD,589,https://images.versus.io/objects/lenovo-thinkpad-p52s-15-6-intel-core-i7-8550u-1-8ghz-32gb-ram-1tb-ssd.front.master.1576684641045.jpg,1.95,0,1,1844863,365.8,252.8,19.95,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",0,1,8,2400,1,256,4 x 1.8GHz,8,0,1,1,0,1,1,0,0,1,2,0
"Lenovo ThinkPad P52S 15.6"" Intel Core i7-8550U 1.8GHz / 32GB RAM / 1TB SSD",2.3,https://images.versus.io/objects/lenovo-thinkpad-p52s-15-6-intel-core-i7-8550u-1-8ghz-32gb-ram-1tb-ssd.front.master.1576684641045.jpg,1.95,0,1,1844863,365.8,252.8,19.95,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",0,1,32,2400,1,1000,4 x 1.8GHz,8,0,1,1,0,1,1,0,0,1,2,0
"Dell Alienware M17 R3 (2020) 17.3"" Intel Core i9-10980HK 2.4GHz / 32GB RAM / 4TB SSD + 512GB SSD",1799,https://images.versus.io/objects/dell-alienware-m17-r3-2020-17-3-intel-core-i9-10980hk-2-4ghz-32gb-ram-4tb-ssd-512gb-ssd.front.master.1590505465520.jpg,2.97,0,1,2647383,399.8,294.3,22.5,17.3,3840 x 2160px,255,"LED-backlit, LCD",0,0,32,2933,1,4000,8 x 2.4GHz,16,0,1,1,0,1,1,0,0,0,1,0
Acer Spin 3 15.6â€? Intel Core i7-7500U 2.7GHz / 8GB / 1TB HDD + 128GB SSD,450,https://images.versus.io/objects/acer-spin-3-15-6-intel-core-i7-7500u-2-7ghz-8gb-1tb-hdd-128gb-ssd.front.master.1576684641045.jpg,2.15,0,1,2164.13,381.5,251,22.6,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",1,1,8,2133,1,1128,2 x 2.7GHz,4,0,1,1,0,1,1,0,0,0,1,0
Acer Aspire 5 15.6â€? Intel Core i5-7200U 2.5GHz / 12GB / 1TB HDD + 128GB SSD,439,https://images.versus.io/objects/acer-aspire-5-15-6-intel-core-i5-7200u-2-5ghz-12gb-1tb-hdd-128gb-ssd.front.master.1576684641045.jpg,2.2,0,0,2166.43,381.5,262.9,21.6,15.6,1366 x 768px,100,"IPS, LCD, LED-backlit",0,1,12,2133,0,1128,2 x 2.5GHz,4,0,1,1,0,1,1,0,0,0,1,0
"Toshiba Tecra X40-D-10H 14"" Intel Core i7-7500U 2.7GHz / 16GB / 512GB SSD",1.28,https://images.versus.io/objects/toshiba-tecra-x40-d-10h-14-intel-core-i7-7500u-2-7ghz-16gb-512gb-ssd.front.master.1576684641045.jpg,1.25,0,1,1284313,332,228.9,16.9,14,1920 x 1080px,157,"LED-backlit, LCD",1,1,16,2133,1,512,2 x 2.7GHz,4,0,1,1,0,1,1,0,0,1,2,0
"Xiaomi Mi Notebook Pro 15.6"" Intel Core i7-8550U 1.8GHz / 16GB / 256GB SSD",649,https://images.versus.io/objects/xiaomi-mi-notebook-pro-15-6-intel-core-i7-8550u-1-8ghz-16gb-256gb-ssd.front.master.1576684641045.jpg,1.95,0,1,1397083,360.7,243.6,15.9,15.6,1920 x 1080px,141,"LED-backlit, LCD",0,0,16,2400,1,256,4 x 1.8GHz,8,0,1,1,0,1,1,0,0,1,1,0
"Acer Nitro 5 15.6"" Intel Core i7-7700HQ 2.8GHz / 16GB / 1TB HDD + 128GB SSD",800,https://images.versus.io/objects/acer-nitro-5-15-6-intel-core-i7-7700hq-2-8ghz-16gb-1tb-hdd-128gb-ssd.front.master.1576684641045.jpg,2.7,0,1,2780233,390,266,26.8,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",0,1,16,2400,1,1128,4 x 2.8GHz,8,0,1,1,0,1,1,0,0,0,1,0
"Acer Spin 5 15"" Intel Core i7-8550U / 16GB / 256GB SSD",550,https://images.versus.io/objects/acer-spin-5-15-intel-core-i7-8550u-16gb-256gb-ssd.front.master.1576684641045.jpg,2,0,0,17643,38.2,25.8,17.9,15,1080 x 1920px,112,"IPS, LCD, LED-backlit",1,0,16,2400,1,256,4 x 1.8GHz,8,0,1,1,0,1,1,0,1,0,1,0
"Lenovo Yoga 520 Convertible 14"" Intel Core i5-7200U / 8GB / 1TB",717,https://images.versus.io/objects/lenovo-yoga-520-convertible-14-intel-core-i5-7200u-8gb-1tb.front.master.1576684641045.jpg,1.7,0,1,1543243,330,235,19.9,14,1920 x 1080px,157,"IPS, LCD, LED-backlit",1,0,8,2133,0,1000,2 x 2.5GHz,4,0,1,1,0,1,1,0,1,1,1,0
"Acer Spin 5 15"" Intel Core i7-8550U / 16GB / 512GB SSD",652,https://images.versus.io/objects/acer-spin-5-15-intel-core-i7-8550u-16gb-512gb-ssd.front.master.1576684641045.jpg,2,0,0,1401543,357,250,17.9,15,1080 x 1920px,157,"IPS, LCD, LED-backlit",1,0,16,2400,1,512,4 x 1.8GHz,8,0,1,1,0,1,1,0,1,0,1,0
"HP EliteBook 1040 G3 14"" Intel Core i5-6200U 2.3GHz / 8GB / 128GB SSD (Touch)",146,https://images.versus.io/objects/hp-elitebook-1040-g3-14-intel-core-i5-6200u-2-3ghz-8gb-128gb-ssd-touch.front.master.1576684641045.jpg,1.43,0,1,1303773,337.1,234.4,16.5,14,1920 x 1080px,157,"LED-backlit, LCD",1,1,8,2133,1,128,2 x 2.3GHz,4,0,1,1,0,1,1,0,0,1,2,0
"Microsoft Surface Book 2 15"" Intel Core i7-8650U / 16GB / 1TB",900,https://images.versus.io/objects/microsoft-surface-book-2-15-intel-core-i7-8650u-16gb-1tb.front.master.1576684641045.jpg,1.53,0,1,1980143,343,251,23,15,3240 x 2160px,260,"IPS, LCD, LED-backlit",1,0,16,2400,1,1000,4 x 1.9GHz,8,0,0,0,0,1,1,0,0,0,2,0
Lenovo Miix 520,226,https://images.versus.io/objects/lenovo-miix-520.front.master.1576684641045.jpg,1.2,0,1,977853,300,205,15.9,12.2,1920 x 1200px,186,"IPS, LCD, LED-backlit",1,0,8,2133,1,256,4 x 1.6GHz,8,0,0,1,0,1,1,0,1,0,4,0
"Acer Nitro 5 15.6"" Intel Core i5-7300HQ 2.5GHz / 8GB / 1TB HDD",749,https://images.versus.io/objects/acer-nitro-5-15-6-intel-core-i5-7300hq-2-5ghz-8gb-1tb-hdd.front.master.1576684641045.jpg,2.7,0,1,2780233,390,266,26.8,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",0,1,8,2400,0,1000,4 x 2.5GHz,4,0,1,1,0,1,1,0,0,0,1,0
"Lenovo ThinkPad P70 17.3"" Intel Core i7 6700HQ 2.6GHz / 8GB / 256GB",1949,https://images.versus.io/objects/lenovo-thinkpad-p70-17-3-intel-core-i7-6700hq-2-6ghz-8gb-256gb.front.master.1576684641045.jpg,3.43,0,1,2930063,416.6,276.9,25.4,17.3,1920 x 1080px,127,"IPS, LCD, LED-backlit",0,1,8,2133,1,256,4 x 2.6GHz,8,0,1,1,0,1,1,0,0,0,1,0
"Panasonic Toughbook 20 10.1"" Intel Core m5-6Y57 1.1GHz / 8GB / 128GB",565,https://images.versus.io/objects/panasonic-toughbook-20-10-1-intel-core-m5-6y57-1-1ghz-8gb-128gb.front.master.1576684641045.jpg,1.77,0,1,2088973,271.8,232.9,33,10.1,1920 x 1200px,224,"IPS, LCD",1,1,8,1600,1,128,2 x 1.1GHz,4,0,1,1,0,1,1,0,1,0,2,0
"Acer Aspire 5 15.6"" AMD Ryzen 3 3350U 2.1GHz / 4GB RAM / 128GB SSD",330,https://images.versus.io/objects/acer-aspire-5-15-6-amd-ryzen-3-3350u-2-1ghz-4gb-ram-128gb-ssd.front.master.1629306327999.jpg,1.8,0,1,1644213,363.2,251.5,18,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",0,1,4,2400,1,128,4 x 2.1GHz,4,0,1,1,0,1,1,0,0,1,1,0
"Dell XPS 13 Developer Edition 13.3"" Intel Core i7 6560U 2.2GHz / 8GB / 256GB",1.2,https://images.versus.io/objects/dell-xps-13-developer-edition-13-3-intel-core-i7-6560u-2-2ghz-8gb-256gb.front.master.1576684641045.jpg,1.22,0,1,511743,304.3,200.2,8.4,13.3,3200 x 1800px,276,"IPS, LCD",1,0,8,1866,1,256,2 x 2.2GHz,4,0,0,1,0,1,1,0,0,0,2,0
"HP ProBook 450 G4 15.6"" Intel Core i5 7200U 2.5GHz / 4GB / 500GB",899,https://images.versus.io/objects/hp-probook-450-g4-15-6-intel-core-i5-7200u-2-5ghz-4gb-500gb.front.master.1576684641045.jpg,2.04,0,1,2450443,382,262.9,24.4,15.6,1366 x 768px,100,"LED-backlit, LCD",0,1,4,2133,0,500,2 x 2.5GHz,8,0,1,1,0,1,1,0,0,1,1,0
"MSI GT72S Dominator Pro G Dragon 17.3"" Intel Core i7-6820HK 2.7GHz / 32GB / 128GB",746,https://images.versus.io/objects/msi-gt72s-dominator-pro-g-dragon-17-3-intel-core-i7-6820hk-2-7ghz-32gb-128gb.front.master.1576684641045.jpg,3.81,0,1,6037883,428,293.9,48,17.3,1920 x 1080px,127,"IPS, LCD, LED-backlit",0,1,32,2133,1,128,2 x 2.7GHz,4,0,1,1,0,1,1,0,0,0,1,0
"Lenovo ThinkPad T460s 14"" Intel Core i5 6300U 2.4GHz / 8GB / 128GB",176,https://images.versus.io/objects/lenovo-thinkpad-t460s-14-intel-core-i5-6300u-2-4ghz-8gb-128gb.front.master.1576684641045.jpg,1.36,0,0,1561473,331,226.8,20.8,14,2560 x 1440px,157,"IPS, LCD",1,1,8,2133,1,128,2 x 2.4GHz,4,0,1,1,0,1,1,0,0,1,4,0
"HP Envy m7-n109dx 17.3"" Intel Core i7 6500U 2.5GHz / 16GB / 1TB",1229,https://images.versus.io/objects/hp-envy-m7-n109dx-17-3-intel-core-i7-6500u-2-5ghz-16gb-1tb.front.master.1576684641045.jpg,3.16,0,1,3582633,415,281.2,30.7,17.3,1920 x 1080px,127,"IPS, LCD, LED-backlit",1,1,16,1600,0,1000,2 x 2.5GHz,8,0,1,1,0,1,1,0,0,0,2,0
"Dell 14 Latitude Rugged Extreme 14"" Intel Core i3-4010U 1.7GHz / 4GB / 128GB",600,https://images.versus.io/objects/dell-14-latitude-rugged-extreme-14-intel-core-i3-4010u-1-7ghz-4gb-128gb.front.master.1576684641045.jpg,3.53,0,1,4521183,355.6,246.4,51.6,14,1366 x 768px,111,LCD,1,0,4,1600,1,128,2 x 1.7GHz,4,0,1,1,0,1,1,0,0,1,2,0
"Dell XPS 13 9365 13.3"" Intel Dore i5 7Y54 1.2GHz / 8GB / 256GB",980,https://images.versus.io/objects/dell-xps-13-9365-13-3-intel-dore-i5-7y54-1-2ghz-8gb-256gb.front.master.1576684641045.jpg,1.22,0,1,488283,304.3,198.1,8.1,13.3,1920 x 1080px,165,"IPS, LCD",1,0,8,1866,1,256,2 x 1.2GHz,4,0,0,1,0,1,1,0,1,1,2,0
"Lenovo ThinkPad T440P 14"" Intel Core i5-4300M 2.6GHz / 4GB / 320GB",319,https://images.versus.io/objects/lenovo-thinkpad-t440p-14-intel-core-i5-4300m-2-6ghz-4gb-320gb.front.master.1576684641045.jpg,2.13,0,1,2122813,334.8,228.9,27.7,14,1366 x 768px,111,"LED-backlit, LCD",0,1,4,1600,1,320,2 x 2.6GHz,4,0,1,1,0,1,1,0,0,1,2,0
"Dell XPS 13 9365 13.3"" Intel Core i7 7Y75 1.3GHz / 8GB / 256GB",335,https://images.versus.io/objects/dell-xps-13-9365-13-3-intel-core-i7-7y75-1-3ghz-8gb-256gb.front.master.1576684641045.jpg,1.22,0,1,488283,304.3,198.1,8.1,13.3,1920 x 1080px,165,"IPS, LCD",1,0,8,1866,1,256,2 x 1.3GHz,4,0,0,1,0,1,1,0,1,1,2,0
"Toshiba Satellite Radius 15 P55W 15.6"" Intel Core i7-5500U 2.4GHz / 12GB / 512GB",153,https://images.versus.io/objects/toshiba-satellite-radius-15-p55w-15-6-intel-core-i7-5500u-2-4ghz-12gb-512gb.front.master.1576684641045.jpg,2.25,0,1,1854793,378.5,243.8,20.1,15.6,3840 x 2160px,282,"IPS, LCD, LED-backlit",1,0,12,1600,1,512,2 x 2.4GHz,4,0,1,1,0,1,1,0,0,0,2,0
"Acer Aspire Switch 12S SW7-272 12.5"" Intel Core m3-6Y30 0.9GHz / 4GB / 128GB",294,https://images.versus.io/objects/acer-aspire-switch-12s-sw7-272-12-5-intel-core-m3-6y30-0-9ghz-4gb-128gb.front.master.1576684641045.jpg,1.4,0,1,1116893,313.4,206,17.3,12.5,1920 x 1080px,176,"IPS, LCD, LED-backlit",1,0,4,1600,1,128,2 x 0.9GHz,4,0,1,1,0,1,1,0,1,1,2,0
"Dell XPS 13 9365 13.3"" Intel Core i7 7Y75 1.3GHz / 16GB / 256GB",220,https://images.versus.io/objects/dell-xps-13-9365-13-3-intel-core-i7-7y75-1-3ghz-16gb-256gb.front.master.1576684641045.jpg,1.22,0,1,488283,304.3,198.1,8.1,13.3,1920 x 1080px,165,"IPS, LCD",1,0,16,1866,1,256,2 x 1.3GHz,2,0,0,1,0,1,1,0,1,1,3,0
"HP Envy 13 13.3"" IntelCore i7-7500U 2.7GHz / 8GB / 256GB SSD",123,https://images.versus.io/objects/hp-envy-13-13-3-intelcore-i7-7500u-2-7ghz-8gb-256gb-ssd.front.master.1576684641045.jpg,1.32,0,1,923033,305.8,215.6,14,13.3,1920 x 1080px,166,"IPS, LCD, LED-backlit",1,0,8,1600,1,256,2 x 2.7GHz,4,0,0,1,0,1,1,0,0,0,2,0
"HP EliteBook 1040 G3 14.1"" Intel Core i7-6600U 2.6GHz / 16GB / 512GB",419,https://images.versus.io/objects/hp-elitebook-1040-g3-14-1-intel-core-i7-6600u-2-6ghz-16gb-512gb.front.master.1576684641045.jpg,1.43,0,1,1303773,337.1,234.4,16.5,14.1,2560 x 1440px,208,"LED-backlit, LCD",0,1,16,2133,1,512,2 x 2.6GHz,4,0,1,1,0,1,1,0,0,1,2,0
"Dell Alienware (13) 13.3"" Intel Core i7 7700HQ 2.8GHz / 32GB / 1TB",1229,https://images.versus.io/objects/dell-alienware-13-13-3-intel-core-i7-7700hq-2-8ghz-32gb-1tb.front.master.1576684641045.jpg,2.63,0,1,1964473,330.2,269.2,22.1,13.3,2560 x 1440px,220,LCD,1,1,32,2400,1,1000,4 x 2.8GHz,8,0,1,1,0,1,1,0,0,0,1,0
"Lenovo ThinkPad P53 15.6"" FHD Intel Xeon E-2276M 2.8GHz / 32GB RAM / 1TB SSD",566,https://images.versus.io/objects/lenovo-thinkpad-p53-15-6-fhd-intel-xeon-e-2276m-2-8ghz-32gb-ram-1tb-ssd.front.master.1576684641045.jpg,2.5,0,1,2332843,377.4,252.3,24.5,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",0,1,32,2666,1,1000,6 x 2.8GHz,12,0,1,1,0,1,1,0,0,1,2,0
"Asus ROG G752VS 17.3"" Intel Core i7 7700HQ 2.8GHz / 64GB / 1TB",1.7,https://images.versus.io/objects/asus-rog-g752vs-17-3-intel-core-i7-7700hq-2-8ghz-64gb-1tb.front.master.1576684641045.jpg,4.4,0,1,7576463,428,334,53,17.3,1920 x 1080px,127,LCD,0,1,64,2400,1,1000,4 x 2.8GHz,16,0,1,1,0,1,1,0,0,0,1,0
"Lenovo ThinkPad X1 Yoga 14"" Intel Core i7-6600U 2.6GHz / 16GB / 1TB",730,https://images.versus.io/objects/lenovo-thinkpad-x1-yoga-14-intel-core-i7-6600u-2-6ghz-16gb-1tb.front.master.1576684641045.jpg,1.27,0,0,1280563,333,228.9,16.8,14,2560 x 1440px,209,LCD,1,0,16,1866,1,1000,2 x 2.6GHz,4,0,1,1,0,1,1,0,1,1,2,0
"Asus ZenBook Pro UX501JW 15.6"" Intel Core i7-4720HQ 2.6GHz / 16GB / 512GB",944,https://images.versus.io/objects/asus-zenbook-pro-ux501jw-15-6-intel-core-i7-4720hq-2-6ghz-16gb-512gb.front.master.1576684641045.jpg,2.27,0,1,1977.43,383.5,254,20.3,15.6,3840 x 2160px,282,"IPS, LCD, LED-backlit",1,0,16,1600,1,512,4 x 2.6GHz,8,0,1,1,0,1,1,0,0,0,1,0
"Acer Aspire R13 13.3"" Intel Core i7-4510U 2GHz / 8GB / 512GB",652,https://images.versus.io/objects/acer-aspire-r13-13-3-intel-core-i7-4510u-2ghz-8gb-512gb.front.master.1576684641045.jpg,1.5,0,1,1410553,342.9,231.1,17.8,13.3,2560 x 1440px,221,"LED-backlit, LCD",1,1,8,1600,1,512,2 x 2GHz,4,0,1,1,0,1,1,0,1,0,2,0
"Toshiba Satellite P50t 15.6"" Intel Core i7-4720HQ 2.6GHz / 16GB / 1TB",599,https://images.versus.io/objects/toshiba-satellite-p50t-15-6-intel-core-i7-4720hq-2-6ghz-16gb-1tb.front.master.1576684641045.jpg,2.27,0,1,2538553,375.9,243.8,27.7,15.6,3840 x 2160px,282,"LED-backlit, LCD",1,0,16,1600,1,1000,4 x 2.6GHz,8,0,1,1,0,1,1,0,0,0,1,0
"Lenovo ThinkPad P53 15.6"" FHD Intel Core i7-9850H 2.6GHz / 16GB RAM / 512GB SSD",1799,https://images.versus.io/objects/lenovo-thinkpad-p53-15-6-fhd-intel-core-i7-9850h-2-6ghz-16gb-ram-512gb-ssd.front.master.1576684641045.jpg,2.5,0,1,2332843,377.4,252.3,24.5,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",0,1,16,2666,1,512,6 x 2.6GHz,12,0,1,1,0,1,1,0,0,1,2,1
"Acer Predator 17 G9-791 17.3"" Intel Core i7 6700HQ 2.6GHz / 32GB / 1TB",1999,https://images.versus.io/objects/acer-predator-17-g9-791-17-3-intel-core-i7-6700hq-2-6ghz-32gb-1tb.front.master.1576684641045.jpg,3.95,0,1,5385783,422.9,321.6,39.6,17.3,1920 x 1080px,127,"IPS, LCD, LED-backlit",0,1,32,2133,0,1000,4 x 2.6GHz,8,0,1,1,0,1,1,0,0,0,1,0
"Lenovo ThinkPad P53 15.6"" FHD Intel Core i9-9880H 2.3GHz / 8GB RAM / 256GB SSD",566,https://images.versus.io/objects/lenovo-thinkpad-p53-15-6-fhd-intel-core-i9-9880h-2-3ghz-8gb-ram-256gb-ssd.front.master.1576684641045.jpg,2.5,0,1,2332843,377.4,252.3,24.5,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",0,1,8,2666,1,256,8 x 2.3GHz,16,0,1,1,0,1,1,0,0,1,2,0
"Lenovo ThinkPad P53 15.6"" UHD Intel Core i7-9850H 2.6GHz / 32GB RAM / 512GB SSD",566,https://images.versus.io/objects/lenovo-thinkpad-p53-15-6-uhd-intel-core-i7-9850h-2-6ghz-32gb-ram-512gb-ssd.front.master.1576684641045.jpg,2.9,0,1,2456623,377.4,252.3,25.8,15.6,3840 x 2160px,282,"OLED/AMOLED, LED-backlit, LCD",1,1,32,2666,1,512,6 x 2.6GHz,12,0,1,1,0,1,1,0,0,1,2,1
"Lenovo ThinkPad P53 15.6"" UHD Intel Core i9-9880H 2.3GHz / 32GB RAM / 1TB SSD",566,https://images.versus.io/objects/lenovo-thinkpad-p53-15-6-uhd-intel-core-i9-9880h-2-3ghz-32gb-ram-1tb-ssd.front.master.1576684641045.jpg,2.5,0,1,2332843,377.4,252.3,24.5,15.6,3840 x 2160px,282,"IPS, LCD, LED-backlit",0,1,32,2666,1,1000,8 x 2.3GHz,16,0,1,1,0,1,1,0,0,1,2,1
"MSI GF65 Thin 15.6"" Intel Core i5-9300H 2.4GHz / 8GB RAM / 256GB SSD",960,https://images.versus.io/objects/msi-gf65-thin-15-6-intel-core-i5-9300h-2-4ghz-8gb-ram-256gb-ssd.front.master.1612558089790.jpg,1.86,0,1,1978743,359,254,21.7,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",0,0,8,2666,1,256,4 x 2.4GHz,8,0,1,1,0,1,1,0,0,0,1,0
"Lenovo ThinkPad P53 15.6"" FHD Intel Core i5-9400H 2.5GHz / 8GB RAM / 256GB SSD",566,https://images.versus.io/objects/lenovo-thinkpad-p53-15-6-fhd-intel-core-i5-9400h-2-5ghz-8gb-ram-256gb-ssd.front.master.1576684641045.jpg,2.5,0,1,2332843,377.4,252.3,24.5,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",0,1,8,2666,1,256,4 x 2.5GHz,8,0,1,1,0,1,1,0,0,1,2,0
